ID,Offset,Condition,bin,com.raw.distance,com.distance.moving,com.raw.speed,com.speed.moving,com.percentage.moving,ZT,norm_raw_distance,norm_filtered_distance
102120_left_com1,0,cycle,83,96.14526946,24.07410004,0.026707019,0.048196396,13.875,11,0.392798274,0.155330134
102120_left_com2,0,cycle,6,40.32045735,0.750862552,0.011200127,0.03575536,0.583333333,6,0.380691011,0.01966673
102120_left_com2,0,cycle,7,43.87149367,0,0.012186526,NA,0,7,0.414218597,0
102120_left_com2,0,cycle,8,45.65428323,0,0.012681745,NA,0,8,0.431051044,0
102120_left_com2,0,cycle,9,41.89296885,0,0.011636936,NA,0,9,0.395538089,0
102120_left_com2,0,cycle,10,46.94359099,0,0.013039886,NA,0,10,0.443224216,0
102120_left_com2,0,cycle,11,38.55416207,0.028983289,0.010709489,0.028983289,0.027777778,11,0.364014297,0.000759136
102120_left_com2,0,cycle,12,42.58719685,0,0.011829777,NA,0,12,0.402092736,0
102120_left_com2,0,cycle,13,51.78258961,1.210189161,0.014384053,0.03903836,0.861111111,13,0.488912271,0.031697496
102120_left_com2,0,cycle,14,59.53912008,1.413737125,0.016538644,0.033264403,1.180555556,14,0.562146595,0.037028862
102120_left_com2,0,cycle,15,66.14326224,2.192972122,0.018373128,0.037169019,1.638888889,15,0.624500489,0.057438728
102120_left_com2,0,cycle,16,49.03655138,0.623522232,0.013621264,0.035629842,0.486111111,16,0.462985182,0.016331409
102120_left_com2,0,cycle,17,59.5950573,2.80685282,0.016554183,0.040097897,1.944444444,17,0.562674733,0.073517603
102120_left_com2,0,cycle,18,51.59357682,0.042132394,0.014331549,0.021066197,0.055555556,18,0.487127681,0.001103539
102120_left_com2,0,cycle,19,45.3559405,0.009898257,0.012598872,0.019796513,0.013888889,19,0.428234201,0.000259257
102120_left_com2,0,cycle,20,44.6474973,0.028238454,0.012402083,0.011295382,0.069444444,20,0.421545339,0.000739627
102120_left_com2,0,cycle,21,47.09046648,0.872120627,0.013080685,0.04056375,0.597222222,21,0.444610961,0.022842743
102120_left_com2,0,cycle,22,66.4851473,5.74419506,0.018468096,0.053936104,2.958333333,22,0.627728443,0.15045301
102120_left_com2,0,cycle,23,63.78547525,5.61704703,0.017718188,0.054010068,2.888888889,23,0.602239127,0.147122725
102120_left_com2,0,cycle,24,68.99198612,13.65362885,0.019164441,0.062775305,6.041666667,0,0.651397098,0.357618349
